	Voltage__median	Current__sum_values	Audio__standard_deviation	Audio__root_mean_square	Current__median	target
0	18.517109	1711697.6156230008	0.44656331072202105	1.8102903463482285	5.797831	kunststoff-pc
1	18.492905	1616939.3247159994	0.43631201702702105	1.8076842097987034	5.724588	kunststoff-pc
2	19.303783	1602745.4570659997	0.6211029426619563	1.862802353784804	1.110331	holz-spanplatte
3	19.291681	1052426.3768250002	0.25821211739296906	1.7728653851957148	0.670878	holz-spanplatte
4	19.412708	996525.106434	0.21313489927868978	1.7668021062811647	0.670878	holz-spanplatte
5	19.267475	1783729.8440529995	0.3381828109550529	1.78646095907922	0.890604	holz-spanplatte
6	19.267475	1252701.110935	0.2797211027459809	1.7761342805424654	0.670878	holz-spanplatte
7	19.182756	1346096.199012	0.37264618386784143	1.7931707067271845	1.183573	holz-spanplatte
8	19.231169	1010567.3302410005	0.46404493676429714	1.8149463129380479	0.670878	holz-spanplatte
9	19.206963	1499589.3818410006	0.3693136659317039	1.7924729750450128	0.890604	holz-spanplatte
10	18.638136	1797758.0762099992	0.4596691257442453	1.8134385935426776	4.332987	holz-spanplatte
11	19.231169	1114440.413465	0.35567745062401424	1.789638742960442	0.670878	holz-spanplatte
12	19.243271	853166.9735500001	0.27771364984898655	1.7756487754543324	0.670878	holz-spanplatte
13	19.158552	1385796.061624	0.26550685946358343	1.7740457456590608	0.817362	holz-spanplatte
14	18.444492	1969598.7130240004	0.4546969972746105	1.8121850848999443	5.065409	kunststoff-pc
15	19.182756	1533400.5157940001	0.39235449789965393	1.797653188199583	0.74412	kunststoff-pc
16	18.795471	1826859.7547109998	0.3978657545596299	1.798858777194495	3.600565	kunststoff-pc
17	18.480801	1153233.1587360005	0.3969253058338711	1.7985985935511406	4.552713	holz-spanplatte
18	18.492905	2361299.95748	0.43947637888375723	1.808450334619247	4.479471	kunststoff-pc
19	18.686546	1370528.5608609999	0.42682408136928407	1.80520179617508	3.966776	kunststoff-pc
20	18.480801	2161205.105112001	0.44843563768831407	1.810546201323172	4.552713	kunststoff-pc
21	19.134346	857023.2695670001	0.30334331532993974	1.7799993304744266	0.670878	holz-spanplatte
22	18.43239	1102822.3778960002	0.4346573622201699	1.8072278815618736	4.77244	holz-spanplatte
23	18.359774	1604123.528073	0.4659335196449614	1.8148510306230474	5.138651	kunststoff-pc
24	19.146448	707315.5738470001	0.27139653025928867	1.7747348828797882	0.524393	holz-spanplatte
25	18.420288	2527300.4400380007	0.4407390122745269	1.8085132668682289	4.699198	kunststoff-pc
26	18.359774	1700139.0850320002	0.5200089969204312	1.8298597774136038	4.992167	kunststoff-pc
27	18.989115	1450766.8358080003	0.3425804470990503	1.7869238702500747	0.670878	kunststoff-pc
28	18.335569	1684444.0057730004	0.4677628227450905	1.81553697055826	5.065409	kunststoff-pc
29	19.122244	595190.2911580001	0.2923746903635226	1.7779878862179683	0.670878	holz-spanplatte
30	19.013319	1352086.1636739997	0.36438370946087323	1.7914004556076537	0.670878	kunststoff-pc
31	19.013319	1672205.6305370007	0.3332812062520705	1.7852572282195762	0.670878	kunststoff-pc
32	18.371878	2038446.2393420006	0.47083488580148997	1.816309106700488	4.699198	kunststoff-pc
33	18.456596	2207406.689572	0.4694553362164255	1.8158868763761666	4.11326	holz-spanplatte
34	18.952806	1278058.7323790002	0.37382761363668293	1.793215546648596	0.670878	kunststoff-pc
35	19.061729	737280.5099099999	0.2778531083198855	1.7755425675943097	0.524393	holz-spanplatte
36	18.287159	1575089.0680809994	0.4877034759493431	1.8206940753147451	5.065409	kunststoff-pc
37	19.049627	717049.3247439999	0.30126074645250056	1.779476614053793	0.670878	holz-spanplatte
38	18.311363	2313543.520577001	0.48635855308433495	1.8206961485209645	4.77244	kunststoff-pc
39	18.940702	1375129.5496870002	0.4042333256608053	1.8002211386381348	0.670878	kunststoff-pc
