Audio__sum_values,Audio__median,Audio__mean,Audio__length,Audio__standard_deviation,Audio__variance,Audio__root_mean_square,Audio__maximum,Audio__absolute_maximum,Audio__minimum,Voltage__sum_values,Voltage__median,Voltage__mean,Voltage__length,Voltage__standard_deviation,Voltage__variance,Voltage__root_mean_square,Voltage__maximum,Voltage__absolute_maximum,Voltage__minimum,Current__sum_values,Current__median,Current__mean,Current__length,Current__standard_deviation,Current__variance,Current__root_mean_square,Current__maximum,Current__absolute_maximum,Current__minimum
607387.6676449999,1.75293,1.7542388737436458,346240.0,0.43631201702702105,0.19036817620218752,1.8076842097987034,3.012695,3.012695,0.522461,6490709.621715999,18.492905,18.74627316807994,346240.0,0.6735693129151752,0.45369561930102126,18.75837022002645,25.330921,25.330921,12.296329,1616939.3247159994,5.724588,4.669995739128926,346240.0,3.445192337685229,11.869350243645012,5.80329306920884,34.582012,34.582012,-0.061544
954252.7464429999,1.75293,1.7562072041427412,543360.0,0.6211029426619563,0.38576886538334143,1.862802353784804,3.032227,3.032227,0.507812,10372463.420994,19.303783,19.08948656690592,543360.0,0.6126773517591636,0.3753735373586219,19.099315980564334,24.665274,24.665274,14.462709,1602745.4570659997,1.110331,2.9496934943058006,543360.0,3.1968871873898586,10.220087688897442,4.349802225302596,35.607403,35.607403,0.011698
781957.7801129997,1.75293,1.753960711206664,445824.0,0.25821211739296906,0.06667349756856043,1.7728653851957148,2.988281,2.988281,0.522461,8564896.856094003,19.291681,19.211385784735686,445824.0,0.489283668596539,0.2393985083552878,19.217615416026504,24.725788,24.725788,12.65941,1052426.3768250002,0.670878,2.360631946294951,445824.0,2.7437527198861607,7.528178987882705,3.619497502934763,18.615213,18.615213,-0.134786
892384.028086,1.75293,1.7538994262696541,508800.0,0.21313489927868978,0.045426485290537236,1.7668021062811647,2.807617,2.807617,0.678711,9815869.781505002,19.412708,19.292196897612033,508800.0,0.4535451106810601,0.20570316742269507,19.29752741424802,25.028355,25.028355,12.368945,996525.106434,0.670878,1.9585792186202828,508800.0,2.479324523036411,6.147050090529729,3.1596016594091365,20.51951,20.51951,-0.134786
1028582.9297130004,1.75293,1.7541593840608636,586368.0,0.3381828109550529,0.11436761362546105,1.78646095907922,3.017578,3.017578,0.522461,11152664.885080997,19.267475,19.019907097728726,586368.0,0.7055880872362451,0.497854548849703,19.03299032088971,25.028355,25.028355,10.844007,1783729.8440529995,0.890604,3.0419972509635578,586368.0,3.854590917717443,14.857871142949797,4.910358277948733,37.804668,37.804668,0.011698
990305.2243749999,1.75293,1.7539695228813617,564608.0,0.2797211027459809,0.07824389532142759,1.7761342805424654,2.978516,2.978516,0.522461,10820424.782019002,19.267475,19.164490729885163,564608.0,0.45078584527235965,0.20320787829791578,19.16979167372854,24.701582,24.701582,12.792539,1252701.110935,0.670878,2.21870946025384,564608.0,2.5270535799845604,6.385999796112782,3.362836818094608,18.908182,18.908182,0.011698
729898.002351,1.75293,1.7540228063264187,416128.0,0.37264618386784143,0.13886517835126508,1.7931707067271845,2.978516,2.978516,0.522461,7878193.976977999,19.182756,18.932141016653528,416128.0,0.7084341759330417,0.501878981629928,18.945391061049254,24.786301,24.786301,12.816745,1346096.199012,1.183573,3.234812843673101,416128.0,3.9097977291296333,15.286518282707236,5.074498242811765,37.804668,37.804668,0.08494
808304.4452489996,1.75293,1.7546203052258431,460672.0,0.46404493676429714,0.21533770333658053,1.8149463129380479,3.041992,3.041992,0.512695,8825123.797319999,19.231169,19.157065758978185,460672.0,0.48110045188333556,0.23145764480234968,19.163105858357536,24.132755,24.132755,15.213077,1010567.3302410005,0.670878,2.1936808189796655,460672.0,2.6726929240761503,7.143287466406723,3.4576759538693054,16.564432,16.564432,-0.061544
910403.673683,1.75293,1.754014476115521,519040.0,0.3693136659317039,0.1363925838439142,1.7924729750450128,2.988281,2.988281,0.522461,9862715.374036,19.206963,19.0018406558955,519040.0,0.5846769558453124,0.3418471426965415,19.0108336338715,24.459528,24.459528,14.741072,1499589.3818410006,0.890604,2.889159567357045,519040.0,3.0774886697139503,9.47093651221774,4.221158551614531,32.677715,32.677715,-0.281271
827427.2655499994,1.75293,1.7542131647515253,471680.0,0.4596691257442453,0.21129570516247878,1.8134385935426776,2.993164,2.993164,0.522461,8856848.153049,18.638136,18.77723913044649,471680.0,0.5321508201478695,0.28318449538405016,18.78477824882037,24.24168,24.24168,14.32958,1797758.0762099992,4.332987,3.8113934790747948,471680.0,2.8074073446364958,7.881535998718939,4.733735971835862,35.241192,35.241192,-0.281271
760844.5045869998,1.75293,1.753938534106207,433792.0,0.35567745062401424,0.12650644888239806,1.789638742960442,2.998047,2.998047,0.522461,8260480.954646002,19.231169,19.042492610850363,433792.0,0.6712578283840615,0.4505870721668861,19.054320032645027,24.290091,24.290091,13.676035,1114440.413465,0.670878,2.5690663116539723,433792.0,3.691864253148884,13.629861663678566,4.4977731576141,37.804668,37.804668,-0.793966
750456.72529,1.75293,1.753796938775987,427904.0,0.27771364984898655,0.0771248713124455,1.7756487754543324,3.007812,3.007812,0.517578,8193313.178402998,19.243271,19.147549867266953,427904.0,0.47919714237467564,0.22962990126005514,19.15354525461892,24.302193,24.302193,15.297795,853166.9735500001,0.670878,1.9938279930778868,427904.0,2.6539644513831004,7.043527309205201,3.319469441821417,15.172831,15.172831,0.011698
