Current__abs_energy,Audio__mean_abs_change,Audio__cid_ce__normalize_False,Audio__number_crossing_m__m_1,"Audio__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",Current__sum_of_reoccurring_data_points,Current__sum_values,Audio__spkt_welch_density__coeff_5,Audio__range_count__max_1__min_-1,Audio__spkt_welch_density__coeff_8
11660743.585213332,0.04163695372271754,36.49598622560112,3830.0,1.3961425541164514,1616739.8775860001,1616939.3247159994,6.294077625279488,18848.0,0.6178467168919587
10280794.6943751,0.03938651547871665,46.84623966923434,7170.0,1.338669373462505,1602435.6721030003,1602745.4570659997,2.0337652702509708,69294.0,0.6493672954138259
5840634.195350323,0.02104187178095343,19.856006201971418,680.0,1.4823185811896677,1052260.512777,1052426.3768250002,1.529929212606432,3073.0,0.20832320966783846
5079392.450356484,0.019919220845559842,19.759632134193627,192.0,1.5211726586815297,996263.0901479999,996525.106434,2.550016910195774,666.0,0.20740050145341762
14138281.468420064,0.02889877178456497,32.46375531532043,2652.0,1.4926805738100384,1783580.0902230002,1783729.8440529995,2.394808142840152,13235.0,0.20360704890827533
6384966.37858557,0.023749853680524687,25.03973846556826,1140.0,1.4629895677101636,1252506.952006,1252701.110935,2.299297269443786,5068.0,0.18166299651319445
10715517.55332994,0.03214079035246452,29.605116183293912,2482.0,1.4634249926168996,1346022.4207300001,1346096.199012,3.6360574701795962,12914.0,0.25817957449462337
5507574.692361664,0.030862600024746507,31.861637160590586,3858.0,1.3971739548917812,1010364.848154,1010567.3302410005,2.3828836890999527,29688.0,0.3087569101985811
9248347.896954477,0.02967529517049778,31.19319207119985,3046.0,1.5476090141069485,1499402.3009520003,1499589.3818410006,1.995506736542249,16350.0,0.17616601584902122
10569526.308496589,0.03761723708920685,37.95412968303768,4864.0,1.434026207572448,1797517.0041180004,1797758.0762099992,2.8480417233023054,29167.0,0.23003599725755994
8775596.273389112,0.030072868505801185,29.49692020962992,2524.0,1.453431007318676,1114292.9916869998,1114440.413465,3.564125616775472,12980.0,0.28960426045831367
4715021.704351644,0.02403703547766668,22.773990520825258,998.0,1.4373889642764952,853079.733462,853166.9735500001,2.086509511484471,4594.0,0.22325986160935382
8303640.608421058,0.023058638397890723,24.092716406220926,1022.0,1.4656786111651299,1385610.384036,1385796.061624,1.521768897451141,4329.0,0.1102401556099975
12431147.108894276,0.04635462087061424,45.2154542619785,5630.0,1.319002954941574,1969409.6047480002,1969598.7130240004,6.522851425970398,26533.0,0.5908272157954412
12899285.619567199,0.03391322016245237,37.05922637867981,3596.0,1.421306040181039,1533400.515794,1533400.5157940001,4.124538580573027,19403.0,0.45488903453856694
13030305.751441663,0.03792915559064771,38.71326125281314,4086.0,1.5026304613569375,1826764.5780159999,1826859.7547109998,3.828506454681384,19418.0,0.3747588723545977
7775607.627915196,0.03534693079591525,29.456078835186997,2556.0,1.4333565227625336,1152969.967505,1153233.1587360005,3.7149963005944193,12821.0,0.2542242157034034
13725839.341394624,0.03997941423113478,43.34318542662566,5784.0,1.3386406006309208,2360915.808296,2361299.95748,3.6136107674830877,29870.0,0.3374613825266646
11973494.5743062,0.036672998912931444,32.60547328504098,3038.0,1.3958261518035493,1370464.951548,1370528.5608609999,4.247375488395976,16615.0,0.5189677262958776
12994280.241470698,0.040440408087534754,41.18996651657789,5358.0,1.3317224375911971,2160768.271398,2161205.105112001,4.001897532918509,28480.0,0.3474916745844803
4196950.178790816,0.023839543203846597,21.950035034134274,1316.0,1.4703821154112753,856794.590175,857023.2695670001,1.608578881594139,6260.0,0.17263215503774798
8863370.144822063,0.03768405689141708,30.315174805389827,2742.0,1.4103629796841493,1102786.1113139999,1102822.3778960002,5.272350240989902,15050.0,0.34312552401651447
12035959.049546687,0.04301254084499737,38.21010384622716,4204.0,1.328486148226371,1604012.604303,1604123.528073,5.907376396522603,22496.0,0.5268495862090146
3421469.828494745,0.022157357813840484,20.990121876612584,960.0,1.4475593588838915,707027.1669770001,707315.5738470001,2.8668039870096793,4395.0,0.108483545927066
14340983.05542797,0.041896118458839185,45.35329659418032,6346.0,1.3224337027029593,2527175.650103,2527300.4400380007,3.606389200187163,31239.0,0.3362066571714842
13190058.444035204,0.04524330947462637,41.13344371757698,5248.0,1.2659598086768276,1700026.39175,1700139.0850320002,6.815357136674462,31629.0,0.5582372704563319
