,Voltage__sum_values,Audio__length,Current__median,Voltage__minimum,Current__mean,Voltage__mean,Voltage__root_mean_square,Audio__mean,Audio__variance,Audio__standard_deviation
0,6490709.621715999,346240.0,5.724588,12.296329,4.669995739128926,18.74627316807994,18.75837022002645,1.7542388737436458,0.1903681762021875,0.436312017027021
1,10372463.420994,543360.0,1.110331,14.462709,2.9496934943058006,19.08948656690592,19.09931598056433,1.7562072041427412,0.3857688653833414,0.6211029426619563
2,8564896.856094003,445824.0,0.670878,12.65941,2.360631946294951,19.21138578473569,19.217615416026504,1.753960711206664,0.0666734975685604,0.258212117392969
3,9815869.781505002,508800.0,0.670878,12.368945,1.9585792186202828,19.292196897612037,19.29752741424802,1.753899426269654,0.0454264852905372,0.2131348992786897
4,11152664.885080997,586368.0,0.890604,10.844007,3.0419972509635578,19.019907097728726,19.03299032088971,1.7541593840608636,0.114367613625461,0.3381828109550529
5,10820424.782019002,564608.0,0.670878,12.792539,2.21870946025384,19.164490729885163,19.16979167372854,1.7539695228813617,0.0782438953214275,0.2797211027459809
6,7878193.976977999,416128.0,1.183573,12.816745,3.234812843673101,18.932141016653528,18.945391061049254,1.7540228063264187,0.138865178351265,0.3726461838678414
7,8825123.797319999,460672.0,0.670878,15.213077,2.193680818979665,19.157065758978185,19.163105858357536,1.7546203052258431,0.2153377033365805,0.4640449367642971
8,9862715.374036,519040.0,0.890604,14.741072,2.889159567357045,19.0018406558955,19.0108336338715,1.754014476115521,0.1363925838439142,0.3693136659317039
9,8856848.153049,471680.0,4.332987,14.32958,3.8113934790747943,18.77723913044649,18.78477824882037,1.7542131647515251,0.2112957051624787,0.4596691257442453
10,8260480.954646002,433792.0,0.670878,13.676035,2.5690663116539723,19.042492610850363,19.054320032645027,1.753938534106207,0.126506448882398,0.3556774506240142
11,8193313.178402998,427904.0,0.670878,15.297795,1.9938279930778868,19.147549867266957,19.15354525461892,1.753796938775987,0.0771248713124455,0.2777136498489865
12,9958205.910985002,524160.0,0.817362,13.010387,2.6438416926587305,18.998408712959787,19.00591057226368,1.7540651114678725,0.070493892422215,0.2655068594635834
13,8327432.800021001,447616.0,5.065409,12.986182,4.400197296396913,18.603965899389213,18.61199049892485,1.7542136194327282,0.2067493593305471,0.4546969972746105
14,9135850.123072997,483712.0,0.74412,12.610999,3.1700692060440927,18.886961917572847,18.90215112069407,1.75431323685995,0.1539420520220895,0.3923544978996539
15,9226592.866244,492672.0,3.600565,12.901464,3.7080649087242623,18.727658292421737,18.73930374692094,1.7543077670803295,0.1582971586513036,0.3978657545596299
16,5750820.541294,307584.0,4.552713,11.207088,3.749327529182274,18.696748014506607,18.706671786038974,1.7542540301543643,0.1575496984113121,0.3969253058338711
17,10738071.81545,577664.0,4.479471,13.893884,4.087670267629625,18.588784856681396,18.595428649091986,1.7542386169468756,0.1931394875967797,0.4394763788837572
18,5956021.045061001,320128.0,3.966776,13.20403,4.281189276979832,18.605123716329096,18.6223044837651,1.7540167412191374,0.1821787964367332,0.426824081369284
19,9445375.987664,509056.0,4.552713,12.70782,4.245515434671236,18.554689440187325,18.561488172577945,1.7541331266402904,0.2010945211489249,0.448435637688314
20,8258563.396588999,434048.0,0.670878,12.538383,1.974489617662102,19.026843567045574,19.031641384550777,1.7539613591906884,0.0920171669553592,0.3033433153299397
21,5149271.172448,276352.0,4.77244,11.509654,3.990643736596805,18.63301576412691,18.64678080586841,1.7541794644113304,0.1889270225321959,0.4346573622201699
22,6408362.053566001,347008.0,5.138651,10.287283,4.622727798993107,18.467476408515083,18.478916338662412,1.7540211568350008,0.2170940447287416,0.4659335196449614
23,7935816.322153998,416128.0,0.524393,12.078481,1.699754820264438,19.07061366251249,19.07524287593138,1.75386083480804,0.073656076636781,0.2713965302592886
24,11076788.712211996,597888.0,4.699198,12.816745,4.227046604109801,18.52652789855625,18.532011791780874,1.753986704481441,0.1942508769407255,0.4407390122745269
25,6757676.519037001,366464.0,4.992167,9.730559,4.639307230811212,18.440219282213263,18.45259778709452,1.7544165549030737,0.270409356878193,0.5200089969204312
26,9754297.776837995,518272.0,0.670878,13.869678,2.799238306927637,18.820807948023425,18.832324101883646,1.7537775102147135,0.1173613627345852,0.3425804470990503
27,6591549.836816003,357760.0,5.065409,8.701831,4.708307261217018,18.424502003622543,18.438140807026645,1.7542441201615606,0.2188020583424549,0.4677628227450905
28,6446784.790170998,338560.0,0.670878,14.075423,1.7580053495923915,19.04177927153532,19.046648487858597,1.7537838988805527,0.0854829595651657,0.2923746903635226
29,10478501.839046998,554880.0,0.670878,13.20403,2.4367181438761527,18.884266578443984,18.891857136395288,1.7539498580720156,0.132775487720466,0.3643837094608732
30,14148752.791044,748416.0,0.670878,13.494494,2.2343264047494986,18.90493093552784,18.911609001753728,1.753872004585685,0.1110763624408351,0.3332812062520705
31,9244313.558660006,499328.0,4.699198,11.146574,4.082379196323861,18.513509273783978,18.520853726766028,1.754221559950574,0.221685489687702,0.4708348858014899
32,11548435.557504002,621184.0,4.11326,12.429459,3.553547241351999,18.591006139089227,18.596067990262085,1.754154165144305,0.2203883127020771,0.4694553362164255
33,9334574.429728003,496256.0,0.670878,13.70024,2.575402075499339,18.809998125419146,18.81791621890054,1.753817240200622,0.1397470847172971,0.3738276136366829
34,7750346.767207,408704.0,0.524393,11.89694,1.803947379790753,18.96322709639984,18.969336926764967,1.7536673172344783,0.077202349803022,0.2778531083198855
35,6615183.512216998,358784.0,5.065409,9.403787,4.390076112872925,18.43778850845355,18.449180560282592,1.7541585548157108,0.2378546804530715,0.4877034759493431
