,Audio__has_duplicate_max,Audio__last_location_of_maximum,Audio__last_location_of_minimum,Audio__large_standard_deviation__r_0.15000000000000002,"Audio__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",Audio__ratio_beyond_r_sigma__r_5,Voltage__cid_ce__normalize_False,Voltage__energy_ratio_by_chunks__num_segments_10__segment_focus_0,"Current__linear_trend__attr_""rvalue""","Current__linear_trend__attr_""slope"""
0,0.0,0.1536362060998152,0.9129187846580408,1.0,1.7000537162638287,0.0,128.284983738316,0.1105970764081101,0.0416178526644764,1.434519727254714e-06
1,0.0,0.3950382803297998,0.4257656065959952,1.0,1.7058860255268,0.0,303.669761957009,0.1061052450420698,0.1215782039230559,2.477912651669764e-06
2,0.0,0.5129288687912719,0.5597567650014356,0.0,1.71636059778219,0.0,354.1802492235017,0.1046166077574335,0.0704589860698332,1.5021335157867377e-06
3,0.0,0.9301985062893082,0.9306151729559748,0.0,1.7179255272083953,7.861635220125786e-06,372.41424640845474,0.1034913647286398,0.1009186749115383,1.703524703798016e-06
4,0.0,0.7826296796550971,0.9439294095175724,0.0,1.717470558942883,0.0,299.98803213799914,0.1062787965359694,0.0649349421027688,1.4786899222179403e-06
5,1.0,0.7519765926093857,0.7735012610519156,0.0,1.7132461545110078,0.0,376.7721028473909,0.1041170035603021,0.0605518204820547,9.388263068147436e-07
6,1.0,0.9513467010150722,0.9511953052906796,1.0,1.711258870112056,0.0,261.40899535824354,0.1064434828390545,0.0336706665884041,1.0958968742997904e-06
7,0.0,0.5516180709919423,0.7185871943595443,1.0,1.7100738959715789,0.0,353.61792040907693,0.1039867131228234,0.100356315813493,2.016938147524751e-06
8,0.0,0.5675208076448829,0.9443973489519112,0.0,1.7259594446376645,0.0,296.22743523777444,0.1056118719099003,0.2828632890108515,5.809822235227432e-06
9,0.0,0.9108569369063771,0.9362618724559024,1.0,1.7044764958218743,0.0,152.8006221382989,0.1081322568690685,0.0167794800846741,3.459609595201292e-07
10,0.0,0.3495223517261729,0.9341735209501328,0.0,1.709972759996052,0.0,312.62472808110675,0.1047116309387525,0.1484417699567604,4.3763387645259705e-06
11,1.0,0.5809971395453186,0.5803287653305415,0.0,1.70760093139011,0.0,353.4591027672375,0.1034906781975708,0.0246365595490032,5.293213816887132e-07
12,0.0,0.4520299145299145,0.9363171550671552,0.0,1.7110751105020272,0.0,314.36890550049094,0.1050443136181504,-0.0356495808805445,-7.009702390136208e-07
13,1.0,0.928309086359737,0.92752269802688,1.0,1.6858559613456046,0.0,147.74963257782142,0.1094836474503326,0.057441975899527,1.2891891324107155e-06
14,0.0,0.7111669753903149,0.5040044489282879,1.0,1.7039307663583263,0.0,308.84581348504486,0.1062477429847367,0.1013784011856705,2.9596330614507024e-06
15,0.0,0.4392618212522733,0.888607430501429,1.0,1.7192333066737664,0.0,231.66530799893383,0.1075686517680045,0.1819079243600343,4.557854183015004e-06
16,1.0,0.916754447565543,0.9188937005826052,1.0,1.7076951557383684,0.0,141.16308187392028,0.1074843959211693,-0.0272924244809404,-1.0296920267715527e-06
17,1.0,0.9485392892754264,0.9486171892311102,1.0,1.690720809288028,0.0,157.59276280304803,0.1084709939100162,0.0182530403752383,2.9067209294014057e-07
18,0.0,0.594452843862455,0.9010552029188325,1.0,1.6998830318639158,0.0,162.1832905172284,0.1086682990031105,0.0052352878687754,2.474139500665649e-07
19,1.0,0.9388122328388232,0.9388908096555192,1.0,1.6880428259592293,0.0,146.49155887327214,0.1089867565185048,-0.0644170031956017,-1.2006298417111014e-06
20,1.0,0.8107329143320554,0.8107997272191094,0.0,1.714643652678174,0.0,326.154126374149,0.1032421902971074,0.0298315373920359,5.719304956373608e-07
21,1.0,0.9144894916628068,0.9131976609541456,1.0,1.7021828721710668,0.0,113.1878071867015,0.1078411703834202,-0.0850550400179103,-4.284310662209817e-06
22,0.0,0.147042719476208,0.9032443056067871,1.0,1.6887736558309585,0.0,127.04731222731482,0.1094457724658493,-0.047290175248378,-1.7226551073262323e-06
23,1.0,0.643746635650569,0.6438619847739158,0.0,1.7087332911784876,0.0,315.95089678477177,0.1025698576775603,-0.0312835023955433,-6.014014461773247e-07
24,1.0,0.9461471044744166,0.9460952552986512,1.0,1.6895719109395095,0.0,149.03722226332678,0.1083442529444563,-0.009601558262235,-1.3760126927844536e-07
25,0.0,0.3964454898707649,0.9103868319944116,1.0,1.6847435697059772,0.0,108.47094922811792,0.1094800847455444,-0.0613494806453975,-2.2059648998508496e-06
26,0.0,0.5225499351691776,0.5561288281057051,0.0,1.7114567979330164,0.0,397.0194620267494,0.1049808669993198,0.1381054227960097,3.4449348363800527e-06
27,1.0,0.913945102862254,0.9140652951699464,1.0,1.6859126976930603,0.0,95.78140866638596,0.1096108943806795,-0.0620001932734056,-2.370264653070976e-06
28,0.0,0.5004873582230625,0.671343336483932,0.0,1.7077730572471244,0.0,286.9481266266177,0.1026711380638904,0.0495508680196906,1.2051835892022634e-06
29,0.0,0.5028654844290658,0.7391039504036909,0.0,1.6989246031445135,0.0,439.1958081417472,0.1042920591798438,0.0753577783705806,1.4308492278188262e-06
30,0.0,0.7417358795108603,0.8999139515991107,0.0,1.7072942062189969,0.0,509.52075960395865,0.1033073852905336,0.0995234596576064,1.290448293169704e-06
31,0.0,0.3588002275057678,0.9355653998974622,1.0,1.6944261176925397,0.0,153.35942232868814,0.1082883997481608,-0.0035321894352361,-7.070511714735636e-08
32,1.0,0.9485965511024108,0.9483599062435608,1.0,1.7107839737820665,0.0,186.20906663390969,0.1070009381306083,0.1457612175668035,1.931265937297577e-06
33,1.0,0.6897669751096208,0.6652695383028114,0.0,1.7006920006083852,0.0,416.1278031084396,0.1045550514567533,0.0838034328642286,1.8217579227456275e-06
34,0.0,0.522270396179142,0.6498566199498904,0.0,1.707907764043738,0.0,362.2446324406152,0.1027799722917931,0.0554600895593513,1.2311250942014828e-06
35,1.0,0.913117641812344,0.9129894309668212,1.0,1.6724121171326345,0.0,129.49664028287685,0.1087966039927258,-0.184249195082741,-6.637830076594582e-06
36,1.0,0.7741221635367762,0.77166715571205,0.0,1.702340380878604,0.0,322.68179614598074,0.1026653210965226,0.0007640295974715,1.4829564471613128e-08
37,0.0,0.8976388072855465,0.9388458431257344,1.0,1.6915579613125296,0.0,147.74324901264626,0.108521007036838,0.0120106264772604,2.0133293813044345e-07
38,0.0,0.4818793639537421,0.6939231944141392,1.0,1.6993219512607185,0.0,454.32548078017527,0.1035742523423652,0.0422896329988604,7.280970405490365e-07
39,1.0,0.365915929910524,0.6069650085215168,0.0,1.7077651481254097,0.0,330.5868797584412,0.1055540718878444,-0.0195036215625903,-7.667025535796931e-07
40,1.0,0.8455427344205009,0.8454016817122889,1.0,1.6982628327425016,0.0,107.32145336971732,0.1096248047159873,-0.1159675640285197,-8.84562352635335e-06
41,1.0,0.929853366030637,0.928742693496372,1.0,1.6997312188565543,0.0,155.53773441957873,0.1099464812446369,0.0948598214384096,2.0485035155169134e-06
42,0.0,0.671299131870473,0.8923459469535577,1.0,1.6863801570577883,0.0,95.48766011935278,0.1122918288545373,-0.0257765168760056,-1.3712620935863382e-06
43,1.0,0.9007477634683444,0.1539182314195831,1.0,1.6860184563416545,0.0,81.91903920253627,0.1100526586410033,-0.0892456869717007,-4.037517010272445e-06
44,1.0,0.5782548560108234,0.5919501352918438,1.0,1.7053951249545771,0.0,279.128294527279,0.1066715882899717,0.2104893381281378,9.17078711340467e-06
45,1.0,0.8651523109243697,0.8650055610479486,1.0,1.692701001597808,0.0,112.32773617863222,0.1084929720976466,-0.1576285492904139,-8.849643375610486e-06
46,1.0,0.8639263762693746,0.8318788415285944,1.0,1.700980416381816,0.0,120.29052203918972,0.1101057011299392,0.0527429023798549,3.5322204462587606e-06
47,0.0,0.3555942036955565,0.8900819401671799,1.0,1.7108710490099934,0.0,172.67926593008835,0.1082260117773964,0.1133915670739071,6.1237099991583705e-06
48,0.0,0.4259794496604074,0.902061276468238,1.0,1.717039985079876,0.0,224.59501406493536,0.1073030102120171,0.1614405542723475,7.642522253706165e-06
49,0.0,0.5948299506308283,0.4621288741086121,0.0,1.7266298293008475,0.0,209.2703640961956,0.1055281143073861,0.1347532983218183,8.783795486848202e-06
50,0.0,0.5045722713864307,0.8542127581120944,1.0,1.6910971498800036,0.0,111.0030806797791,0.1073811799632569,-0.2055277646737564,-1.688782544574147e-05
51,0.0,0.2293154314491882,0.8422748797354179,1.0,1.694231204600546,0.0,74.77528568653406,0.1100851916609927,-0.0556501264125889,-5.034175712388982e-06
52,1.0,0.8428924663299664,0.846780303030303,0.0,1.7157268737761475,0.0,112.16848634881288,0.1076167380184488,0.0050982954996548,4.734400043991321e-07
53,1.0,0.8160923784604996,0.8158286208642809,0.0,1.713751624916658,0.0,115.47204658701084,0.107449523547042,-0.0162465974025031,-1.475259018924357e-06
