,Audio__variance,Voltage__median,Voltage__mean,Current__mean,Current__length,Current__standard_deviation,Current__variance,Current__maximum,Current__absolute_maximum,Current__minimum
0,0.1903681762021875,18.492905,18.74627316807994,4.669995739128926,346240.0,3.445192337685229,11.869350243645012,34.582012,34.582012,-0.061544
1,0.3857688653833414,19.303783,19.08948656690592,2.9496934943058006,543360.0,3.1968871873898586,10.220087688897442,35.607403,35.607403,0.011698
2,0.0666734975685604,19.291681,19.21138578473569,2.360631946294951,445824.0,2.7437527198861607,7.528178987882705,18.615213,18.615213,-0.134786
3,0.0454264852905372,19.412708,19.292196897612037,1.9585792186202828,508800.0,2.479324523036411,6.147050090529729,20.51951,20.51951,-0.134786
4,0.114367613625461,19.267475,19.019907097728726,3.0419972509635578,586368.0,3.854590917717443,14.857871142949795,37.804668,37.804668,0.011698
5,0.0782438953214275,19.267475,19.164490729885163,2.21870946025384,564608.0,2.5270535799845604,6.385999796112782,18.908182,18.908182,0.011698
6,0.138865178351265,19.182756,18.932141016653528,3.234812843673101,416128.0,3.909797729129633,15.286518282707236,37.804668,37.804668,0.08494
7,0.2153377033365805,19.231169,19.157065758978185,2.193680818979665,460672.0,2.6726929240761503,7.143287466406723,16.564432,16.564432,-0.061544
8,0.1363925838439142,19.206963,19.0018406558955,2.889159567357045,519040.0,3.0774886697139503,9.47093651221774,32.677715,32.677715,-0.281271
9,0.2112957051624787,18.638136,18.77723913044649,3.8113934790747943,471680.0,2.807407344636496,7.881535998718939,35.241192,35.241192,-0.281271
10,0.126506448882398,19.231169,19.042492610850363,2.5690663116539723,433792.0,3.691864253148884,13.629861663678566,37.804668,37.804668,-0.793966
11,0.0771248713124455,19.243271,19.147549867266957,1.9938279930778868,427904.0,2.6539644513831004,7.043527309205201,15.172831,15.172831,0.011698
12,0.070493892422215,19.158552,18.998408712959787,2.6438416926587305,524160.0,2.9752153357728544,8.85190629421798,31.945292,31.945292,-0.208029
13,0.2067493593305471,18.444492,18.603965899389213,4.400197296396913,447616.0,2.9000283557779136,8.41016446431595,33.190411,33.190411,0.08494
14,0.1539420520220895,19.182756,18.886961917572847,3.1700692060440927,483712.0,4.076511490796826,16.617945934598566,37.804668,37.804668,-0.061544
15,0.1582971586513036,18.795471,18.727658292421737,3.7080649087242623,492672.0,3.5634942816041604,12.69849149502555,31.945292,31.945292,0.011698
16,0.1575496984113121,18.480801,18.696748014506607,3.749327529182274,307584.0,3.3499501932137847,11.222166297013077,33.84959,33.84959,0.011698
17,0.1931394875967797,18.492905,18.588784856681396,4.087670267629625,577664.0,2.655539730265107,7.051891259016478,36.486309,36.486309,0.011698
18,0.1821787964367332,18.686546,18.605123716329096,4.281189276979832,320128.0,4.367336492132876,19.07362803551549,32.970684,32.970684,-0.134786
19,0.2010945211489249,18.480801,18.554689440187325,4.245515434671236,509056.0,2.738946532835476,7.501828109731476,34.728497,34.728497,0.011698
20,0.0920171669553592,19.134346,19.026843567045574,1.974489617662102,434048.0,2.402230931570796,5.770713448595494,19.933573,19.933573,-0.061544
21,0.1889270225321959,18.43239,18.63301576412691,3.990643736596805,276352.0,4.0183974577764445,16.147518128664192,37.804668,37.804668,0.08494
22,0.2170940447287416,18.359774,18.467476408515083,4.622727798993107,347008.0,3.649020278490146,13.315348992832307,37.804668,37.804668,0.011698
23,0.073656076636781,19.146448,19.07061366251249,1.699754820264438,416128.0,2.3093269028430408,5.33299074419463,19.640604,19.640604,-0.134786
24,0.1942508769407255,18.420288,18.52652789855625,4.227046604109801,597888.0,2.4734887096264933,6.118146396649734,31.579081,31.579081,0.011698
25,0.270409356878193,18.359774,18.440219282213263,4.639307230811212,366464.0,3.803893962151732,14.4696092752944,37.877911,37.877911,-0.281271
26,0.1173613627345852,18.989115,18.820807948023425,2.799238306927637,518272.0,3.731963632370398,13.927552553335255,35.827129,35.827129,0.011698
27,0.2188020583424549,18.335569,18.424502003622543,4.708307261217018,357760.0,3.948252832406849,15.588700428608709,37.877911,37.877911,0.011698
28,0.0854829595651657,19.122244,19.04177927153532,1.7580053495923915,338560.0,2.377097337282491,5.650591750915507,15.758768,15.758768,-0.061544
29,0.132775487720466,19.013319,18.884266578443984,2.4367181438761527,554880.0,3.04140485873236,9.250143514720806,16.344706,16.344706,-0.061544
30,0.1110763624408351,19.013319,18.90493093552784,2.2343264047494986,748416.0,2.8013513576349727,7.847569428923306,17.443338,17.443338,-0.061544
31,0.221685489687702,18.371878,18.513509273783978,4.082379196323861,499328.0,2.885374277791898,8.325384722943118,35.534161,35.534161,-0.061544
32,0.2203883127020771,18.456596,18.591006139089227,3.553547241351999,621184.0,2.375908609375028,5.644941720102377,30.700174,30.700174,0.011698
33,0.1397470847172971,18.952806,18.809998125419146,2.575402075499339,496256.0,3.1141821096117277,9.698130211825749,17.663065,17.663065,-0.354513
34,0.077202349803022,19.061729,18.96322709639984,1.803947379790753,408704.0,2.6190264369003744,6.85929947718307,19.347635,19.347635,0.011698
35,0.2378546804530715,18.287159,18.43778850845355,4.390076112872925,358784.0,3.731324121964532,13.922779703154385,37.804668,37.804668,0.011698
36,0.0907580373531178,19.049627,18.96424727481416,1.753348309722222,408960.0,2.291439644925196,5.250695646334909,16.124979,16.124979,-0.061544
37,0.2365446421582878,18.311363,18.432995723885508,4.247839895301485,544640.0,2.6355307126878813,6.946022137521092,33.84959,33.84959,0.011698
38,0.1634045815747946,18.940702,18.80347380323172,2.344141306334211,586624.0,2.915577254235461,8.500590725415192,20.006815,20.006815,-0.061544
