,Audio__sum_values,Audio__mean,Audio__length,Audio__maximum,Voltage__sum_values,Voltage__median,Voltage__mean,Voltage__length,Voltage__standard_deviation,Voltage__variance,Voltage__root_mean_square,Voltage__minimum,Current__median,Current__mean
0,607387.6676449999,1.7542388737436458,346240.0,3.012695,6490709.621715999,18.492905,18.74627316807994,346240.0,0.6735693129151752,0.4536956193010212,18.75837022002645,12.296329,5.724588,4.669995739128926
1,954252.746443,1.7562072041427412,543360.0,3.032227,10372463.420994,19.303783,19.08948656690592,543360.0,0.6126773517591636,0.3753735373586219,19.09931598056433,14.462709,1.110331,2.9496934943058006
2,781957.7801129997,1.753960711206664,445824.0,2.988281,8564896.856094003,19.291681,19.21138578473569,445824.0,0.489283668596539,0.2393985083552878,19.217615416026504,12.65941,0.670878,2.360631946294951
3,892384.028086,1.753899426269654,508800.0,2.807617,9815869.781505002,19.412708,19.292196897612037,508800.0,0.4535451106810601,0.205703167422695,19.29752741424802,12.368945,0.670878,1.9585792186202828
4,1028582.9297130004,1.7541593840608636,586368.0,3.017578,11152664.885080997,19.267475,19.019907097728726,586368.0,0.7055880872362451,0.497854548849703,19.03299032088971,10.844007,0.890604,3.0419972509635578
5,990305.224375,1.7539695228813617,564608.0,2.978516,10820424.782019002,19.267475,19.164490729885163,564608.0,0.4507858452723596,0.2032078782979157,19.16979167372854,12.792539,0.670878,2.21870946025384
6,729898.002351,1.7540228063264187,416128.0,2.978516,7878193.976977999,19.182756,18.932141016653528,416128.0,0.7084341759330417,0.501878981629928,18.945391061049254,12.816745,1.183573,3.234812843673101
7,808304.4452489996,1.7546203052258431,460672.0,3.041992,8825123.797319999,19.231169,19.157065758978185,460672.0,0.4811004518833355,0.2314576448023496,19.163105858357536,15.213077,0.670878,2.193680818979665
8,910403.673683,1.754014476115521,519040.0,2.988281,9862715.374036,19.206963,19.0018406558955,519040.0,0.5846769558453124,0.3418471426965415,19.0108336338715,14.741072,0.890604,2.889159567357045
9,827427.2655499994,1.7542131647515251,471680.0,2.993164,8856848.153049,18.638136,18.77723913044649,471680.0,0.5321508201478695,0.2831844953840501,18.78477824882037,14.32958,4.332987,3.8113934790747943
10,760844.5045869998,1.753938534106207,433792.0,2.998047,8260480.954646002,19.231169,19.042492610850363,433792.0,0.6712578283840615,0.4505870721668861,19.054320032645027,13.676035,0.670878,2.5690663116539723
11,750456.72529,1.753796938775987,427904.0,3.007812,8193313.178402998,19.243271,19.147549867266957,427904.0,0.4791971423746756,0.2296299012600551,19.15354525461892,15.297795,0.670878,1.9938279930778868
12,919410.768827,1.7540651114678725,524160.0,2.993164,9958205.910985002,19.158552,18.998408712959787,524160.0,0.5339504248694719,0.2851030562182894,19.00591057226368,13.010387,0.817362,2.6438416926587305
13,785214.0834760001,1.7542136194327282,447616.0,2.978516,8327432.800021001,18.444492,18.603965899389213,447616.0,0.5464825216166451,0.298643146432487,18.61199049892485,12.986182,5.065409,4.400197296396913
14,848582.3644280001,1.75431323685995,483712.0,2.998047,9135850.123072997,19.182756,18.886961917572847,483712.0,0.7576189766029892,0.5739865137089607,18.90215112069407,12.610999,0.74412,3.1700692060440927
15,864298.3162230001,1.7543077670803295,492672.0,2.998047,9226592.866244,18.795471,18.727658292421737,492672.0,0.6605450791979907,0.4363198016526797,18.73930374692094,12.901464,3.600565,3.7080649087242623
16,539580.471611,1.7542540301543643,307584.0,2.978516,5750820.541294,18.480801,18.696748014506607,307584.0,0.6092478909524678,0.3711829926300301,18.706671786038974,11.207088,4.552713,3.749327529182274
17,1013360.49642,1.7542386169468756,577664.0,2.978516,10738071.81545,18.492905,18.588784856681396,577664.0,0.4970354066696391,0.2470441954832535,18.595428649091986,13.893884,4.479471,4.087670267629625
18,561509.871333,1.7540167412191374,320128.0,3.017578,5956021.045061001,18.686546,18.605123716329096,320128.0,0.7997473264390225,0.6395957861463644,18.6223044837651,13.20403,3.966776,4.281189276979832
19,892951.9929149997,1.7541331266402904,509056.0,2.978516,9445375.987664,18.480801,18.554689440187325,509056.0,0.5023374950686831,0.2523429589518792,18.561488172577945,12.70782,4.552713,4.245515434671236
20,761303.420034,1.7539613591906884,434048.0,2.978516,8258563.396588999,19.134346,19.026843567045574,434048.0,0.4273144805900332,0.1825976653219298,19.031641384550777,12.538383,0.670878,1.974489617662102
21,484771.003349,1.7541794644113304,276352.0,2.978516,5149271.172448,18.43239,18.63301576412691,276352.0,0.7163504421026755,0.5131579559006987,18.64678080586841,11.509654,4.77244,3.990643736596805
22,608659.373591,1.7540211568350008,347008.0,2.998047,6408362.053566001,18.359774,18.467476408515083,347008.0,0.6501262586789587,0.4226641522239003,18.478916338662412,10.287283,5.138651,4.622727798993107
23,729830.6014670001,1.75386083480804,416128.0,2.978516,7935816.322153998,19.146448,19.07061366251249,416128.0,0.420220550380989,0.1765853109625013,19.07524287593138,12.078481,0.524393,1.699754820264438
24,1048687.6027689998,1.753986704481441,597888.0,2.978516,11076788.712211996,18.420288,18.52652789855625,597888.0,0.4508049186978365,0.203225074722163,18.532011791780874,12.816745,4.699198,4.227046604109801
25,642930.508376,1.7544165549030737,366464.0,2.988281,6757676.519037001,18.359774,18.440219282213263,366464.0,0.6757794878330977,0.4566779161759638,18.45259778709452,9.730559,4.992167,4.639307230811212
26,908933.777774,1.7537775102147135,518272.0,3.012695,9754297.776837995,18.989115,18.820807948023425,518272.0,0.6584977312077317,0.4336192620057301,18.832324101883646,13.869678,0.670878,2.799238306927637
