Voltage__median,Current__sum_values,Audio__standard_deviation,Audio__root_mean_square,Current__median
18.492905,1616939.3247159994,0.43631201702702105,1.8076842097987034,5.724588
19.303783,1602745.4570659997,0.6211029426619563,1.862802353784804,1.110331
19.291681,1052426.3768250002,0.25821211739296906,1.7728653851957148,0.670878
19.412708,996525.106434,0.21313489927868978,1.7668021062811647,0.670878
19.267475,1783729.8440529995,0.3381828109550529,1.78646095907922,0.890604
19.267475,1252701.110935,0.2797211027459809,1.7761342805424654,0.670878
19.182756,1346096.199012,0.37264618386784143,1.7931707067271845,1.183573
19.231169,1010567.3302410005,0.46404493676429714,1.8149463129380479,0.670878
19.206963,1499589.3818410006,0.3693136659317039,1.7924729750450128,0.890604
18.638136,1797758.0762099992,0.4596691257442453,1.8134385935426776,4.332987
19.231169,1114440.413465,0.35567745062401424,1.789638742960442,0.670878
19.243271,853166.9735500001,0.27771364984898655,1.7756487754543324,0.670878
19.158552,1385796.061624,0.26550685946358343,1.7740457456590608,0.817362
18.444492,1969598.7130240004,0.4546969972746105,1.8121850848999443,5.065409
19.182756,1533400.5157940001,0.39235449789965393,1.797653188199583,0.74412
18.795471,1826859.7547109998,0.3978657545596299,1.798858777194495,3.600565
18.480801,1153233.1587360005,0.3969253058338711,1.7985985935511406,4.552713
18.492905,2361299.95748,0.43947637888375723,1.808450334619247,4.479471
18.686546,1370528.5608609999,0.42682408136928407,1.80520179617508,3.966776
18.480801,2161205.105112001,0.44843563768831407,1.810546201323172,4.552713
19.134346,857023.2695670001,0.30334331532993974,1.7799993304744266,0.670878
18.43239,1102822.3778960002,0.4346573622201699,1.8072278815618736,4.77244
18.359774,1604123.528073,0.4659335196449614,1.8148510306230474,5.138651
19.146448,707315.5738470001,0.27139653025928867,1.7747348828797882,0.524393
18.420288,2527300.4400380007,0.4407390122745269,1.8085132668682289,4.699198
18.359774,1700139.0850320002,0.5200089969204312,1.8298597774136038,4.992167
18.989115,1450766.8358080003,0.3425804470990503,1.7869238702500747,0.670878
18.335569,1684444.0057730004,0.4677628227450905,1.81553697055826,5.065409
19.122244,595190.2911580001,0.2923746903635226,1.7779878862179683,0.670878
19.013319,1352086.1636739997,0.36438370946087323,1.7914004556076537,0.670878
19.013319,1672205.6305370007,0.3332812062520705,1.7852572282195762,0.670878
18.371878,2038446.2393420006,0.47083488580148997,1.816309106700488,4.699198
18.456596,2207406.689572,0.4694553362164255,1.8158868763761666,4.11326
18.952806,1278058.7323790002,0.37382761363668293,1.793215546648596,0.670878
19.061729,737280.5099099999,0.2778531083198855,1.7755425675943097,0.524393
18.287159,1575089.0680809994,0.4877034759493431,1.8206940753147451,5.065409
19.049627,717049.3247439999,0.30126074645250056,1.779476614053793,0.670878
18.311363,2313543.520577001,0.48635855308433495,1.8206961485209645,4.77244
18.940702,1375129.5496870002,0.4042333256608053,1.8002211386381348,0.670878
19.001217,811148.44822,0.2823274841866712,1.7760422574339652,0.670878
18.299261,968244.91365,0.3820210224617014,1.7947634048032626,4.992167
18.275055,2039819.2492520006,0.43542146056438846,1.8071173789740629,5.065409
18.154028,1595120.351154,0.4876860232400805,1.8206349216785747,5.871073
18.045105,1555832.2101969996,0.43163561161484904,1.805592867984425,5.285135
18.783369,1145412.7121580003,0.6770485977260527,1.8823330485440448,0.74412
18.359774,1081324.8222420001,0.42011395496845844,1.8032395382546114,4.406229
18.081413,1174075.6941190003,0.48815246551053876,1.8209353184492605,5.797831
18.892292,1195395.2065729997,0.40447648066376485,1.7996597510757422,0.817362
18.88019,1196419.136411,0.3965524553645379,1.7980549770916896,0.74412
18.795471,727669.6793680002,0.315377127778928,1.7814707418137432,0.670878
18.952806,843682.020228,0.3941614508111049,1.7973546208417377,0.74412
18.033003,1076583.442728,0.4398574201902499,1.8082791524676913,5.358377
18.868088,783869.362494,0.3529746419549853,1.7882688259702162,0.74412
18.771265,774329.2179569999,0.36756004143110294,1.7911712838150684,0.74412
