,Audio__sum_values,Audio__mean,Voltage__median,Voltage__standard_deviation,Voltage__root_mean_square,Voltage__minimum,Current__median,Current__mean,Current__length,Current__standard_deviation
38,1029084.901855,1.7542495735854655,18.940702,0.5116600043380121,18.81043388731,10.795596,0.670878,2.344141306334211,586624.0,2.915577254235461
39,526767.038476,1.753458665570409,19.001217,0.6059144473209519,18.91880454019964,12.961977,0.670878,2.700084044192054,300416.0,3.409134097143928
40,385406.879769,1.7536349727404266,18.299261,0.9377244243713304,18.543595627389045,10.965034,4.992167,4.405598944607236,219776.0,4.839289000812313
41,835350.1397699998,1.7538760996917826,18.275055,0.6083913226898554,18.49197920825489,12.34474,5.065409,4.282743317597757,476288.0,2.969158812119345
42,526960.3093750001,1.754102009796416,18.154028,0.913794468403196,18.29499566294824,8.193519,5.871073,5.309705046182627,300416.0,4.613480350999717
43,570687.171936,1.7532416558198978,18.045105,0.7893610767876612,18.193742220552547,7.648898,5.285135,4.7797637208667165,325504.0,4.251016933678436
44,581592.370782,1.7563550045359009,18.783369,0.7503261805248581,18.538013132434468,9.657944,0.74412,3.459040129004398,331136.0,4.164782106551351
45,454088.9337579999,1.753618287189508,18.359774,0.7560838710228917,18.451813286161045,9.863689,4.406229,4.175902211451125,258944.0,4.196682564276189
46,420129.983775,1.7542840717488974,18.081413,0.8526575792160612,18.296464589344637,12.102686,5.797831,4.902440598773218,239488.0,4.629956486284852
47,510204.461709,1.753617403036323,18.892292,0.8514021972711544,18.450823791733413,13.83337,0.817362,4.108677981236938,290944.0,4.535786882091747
48,561883.3769119999,1.753781015631242,18.88019,0.8136884378362031,18.5096765389165,13.893884,0.74412,3.734328606956028,320384.0,4.378287421117148
49,409129.6465389999,1.753332618533152,18.795471,0.7689056585357059,18.54420601333577,11.945351,0.670878,3.1184417828099296,233344.0,4.390852281935741
50,380461.51524300006,1.7536021167173674,18.952806,0.9199685770581542,18.40409439344906,8.532393,0.74412,3.888652379369469,216960.0,5.146266609718428
51,373356.3529710001,1.753966631140071,18.033003,1.027513744865401,18.170290325791218,7.854643,5.358377,5.057611633380938,212864.0,5.558707355243522
52,333226.79140799993,1.7530870760101007,18.868088,0.8926807417669801,18.311689428415857,12.719923,0.74412,4.123891848137626,190080.0,5.09548759159433
53,332322.7166679999,1.753052818344868,18.771265,0.8457250031763274,18.23735750857381,12.502074,0.74412,4.084704264205984,189568.0,4.969128926686463
