Current__abs_energy,Audio__mean_abs_change,Audio__cid_ce__normalize_False,Audio__number_crossing_m__m_1,"Audio__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""min""",Current__sum_of_reoccurring_data_points,Current__sum_values,Audio__spkt_welch_density__coeff_5,Audio__range_count__max_1__min_-1,Audio__spkt_welch_density__coeff_8
12275246.238743393,0.040881968154900666,38.47592806491289,4186.0,1.4712717428116584,1711480.7867049999,1711697.6156230008,5.946975279904406,22860.0,0.7179930701392004
13857582.99223039,0.042583112512188735,34.87833143792444,3146.0,1.3718580286550384,1313276.966957,1313388.5616050002,7.00647966129035,16721.0,1.0704230459439794
7757673.405124971,0.03492303808132322,26.69562231676014,2064.0,1.4153717435354003,751136.5139009999,751165.907414,3.399871919735725,13544.0,0.46043200520547
8400050.229265578,0.033473957277176336,24.85990774060544,1636.0,1.485599669632266,737377.822347,737377.8223469998,5.669730978266081,9590.0,0.7117660718370327
19381271.06177511,0.03639119638831667,54.0917199485612,11234.0,1.401940759489276,4247322.659381,4247598.521513002,2.132197233707112,65912.0,0.1606844968464345
12161175.066827498,0.04559016664785223,37.48464030173115,3724.0,1.3216424197475989,1265763.767248,1265763.436131,7.355494848788519,20251.0,0.7470218697813055
10970405.681720259,0.02872414034146223,29.114264790330868,1698.0,1.5594909907400216,1635637.62269,1635959.149794,2.9881349535486628,8002.0,0.40360405658429077
15150508.35110312,0.03952290266919256,46.116091342520335,7644.0,1.304740742678671,2862468.997106,2862671.8133759997,3.3165412379434014,44162.0,0.3342875636822248
7965338.889358429,0.03573544700961906,27.189891172787917,2272.0,1.4195988650887015,951514.703139,951514.7031389999,4.573689141926391,12271.0,0.42598041496704836
8583281.26842615,0.027526161130739635,29.193037363689733,1956.0,1.4004933403252522,1547144.1111960001,1547421.8628549997,3.117111069071806,8994.0,0.28168023828710487
