Audio__sum_values,Audio__median,Audio__mean,Audio__length,Audio__standard_deviation,Audio__variance,Audio__root_mean_square,Audio__maximum,Audio__absolute_maximum,Audio__minimum,Voltage__sum_values,Voltage__median,Voltage__mean,Voltage__length,Voltage__standard_deviation,Voltage__variance,Voltage__root_mean_square,Voltage__maximum,Voltage__absolute_maximum,Voltage__minimum,Current__sum_values,Current__median,Current__mean,Current__length,Current__standard_deviation,Current__variance,Current__root_mean_square,Current__maximum,Current__absolute_maximum,Current__minimum
681079.493681,1.75293,1.7543467010823648,388224.0,0.44656331072202105,0.1994187904830123,1.8102903463482285,2.988281,2.988281,0.522461,7318594.543525999,18.517109,18.851473745894122,388224.0,0.7033275940736853,0.4946697045854786,18.864589369947094,25.246202,25.246202,11.279703,1711697.6156230008,5.797831,4.409046364014077,388224.0,3.4898837342426234,12.17928847853124,5.623075521327894,32.457989,32.457989,-0.061544
447780.803109,1.75293,1.7535275810972744,255360.0,0.4648115371870642,0.21604976510220156,1.8140862004797513,3.017578,3.017578,0.522461,4568697.1652649995,17.851461,17.8912013050791,255360.0,0.9030940842713251,0.8155789250458632,17.91397954291313,25.161484,25.161484,7.927259,1313388.5616050002,5.358377,5.143282274455671,255360.0,5.273850408894378,27.813498135395402,7.366603741896621,37.877911,37.877911,0.011698
318132.446703,1.75293,1.7539941706896172,181376.0,0.47518930324568137,0.2258048739191161,1.8172232732199625,2.988281,2.988281,0.522461,3246926.5723690004,18.335569,17.901632919289213,181376.0,0.8092451903289151,0.654877778070482,17.9199145911762,24.302193,24.302193,9.319068,751165.907414,0.74412,4.14148458127867,181376.0,5.061553991255008,25.6193288063895,6.539971203557279,37.877911,37.877911,-0.281271
295621.10805700003,1.748047,1.7536369830640188,168576.0,0.42482290755643115,0.18047450278470006,1.8043605989808615,3.012695,3.012695,0.507812,3019303.551725,18.492905,17.910637052279093,168576.0,0.8966700661240266,0.8040172074828662,17.933068249074264,24.350603,24.350603,11.545962,737377.8223469998,0.670878,4.374156596116884,168576.0,5.5404159780818825,30.69620921018502,7.058998168121159,37.877911,37.877911,0.08494
2094891.7610459987,1.75293,1.7535992588848028,1194624.0,0.4524585334121667,0.20471872445748876,1.8110298410624883,2.988281,2.988281,0.522461,21344447.913911995,17.778845,17.86708446667068,1194624.0,0.33648805561533235,0.11322421157178701,17.870252699688294,23.430799,23.430799,13.760754,4247598.521513002,3.966776,3.555594497944962,1194624.0,1.89248232398872,3.581489346609747,4.027870601251511,35.680645,35.680645,0.011698
450533.98775799986,1.75293,1.7537602288786118,256896.0,0.4997796381285354,0.24977968668788975,1.8235829092981357,2.988281,2.988281,0.517578,4509008.3827639995,17.427868,17.551882406748256,256896.0,0.774504094571097,0.5998565925073948,17.568962195099243,24.895226,24.895226,8.350853,1265763.436131,5.43162,4.927143420415265,256896.0,4.802307950939842,23.062161655660024,6.8803273135078005,37.877911,37.877911,-0.208029
790595.137272,1.75293,1.7532002582848423,450944.0,0.3162651832437268,0.10002366613218812,1.7814979123709986,2.978516,2.978516,0.522461,8018201.179319001,17.742537,17.780924414825346,450944.0,0.5602314983304605,0.31385933172159275,17.789747957108712,24.120653,24.120653,11.461244,1635959.149794,3.673807,3.6278543450938474,450944.0,3.3416041282296662,11.166318149801548,4.932306286010416,33.263653,33.263653,-0.134786
1246887.4481689997,1.75293,1.753610835071163,711040.0,0.4694214073400804,0.22035645766914172,1.815353248970603,3.022461,3.022461,0.522461,12567724.014964998,17.609407,17.675129408985427,711040.0,0.36797195474303906,0.1354033594774132,17.67895932977558,24.035934,24.035934,11.376525,2862671.8133759997,4.332987,4.026034841044104,711040.0,2.258002785815343,5.0985765807498495,4.61600835376745,35.900372,35.900372,0.011698
409622.88103999995,1.748047,1.7535226071917807,233600.0,0.42856193437704426,0.18366533159699397,1.8051334758210138,2.978516,2.978516,0.522461,4137054.4423789997,17.560997,17.70999333210188,233600.0,0.6572018144347316,0.4319142248963033,17.7221832190052,24.435324,24.435324,10.72298,951514.7031389999,4.625956,4.073264996314212,233600.0,4.1841020028361084,17.506709570137133,5.839366172825246,37.804668,37.804668,0.08494
1026733.6705719999,1.75293,1.7533020330806008,585600.0,0.3189793715472357,0.10174783947266945,1.7820818888808783,2.998047,2.998047,0.507812,10526700.085443001,18.105618,17.975922277054305,585600.0,0.4691103518130434,0.22006452217815736,17.982042326523292,24.447426,24.447426,11.388627,1547421.8628549997,0.74412,2.642455366897199,585600.0,2.770319879931372,7.674672237142971,3.8284778441551386,21.251932,21.251932,0.011698
