Audio__lempel_ziv_complexity__bins_3,Audio__lempel_ziv_complexity__bins_5,Audio__number_crossing_m__m_1,Voltage__energy_ratio_by_chunks__num_segments_10__segment_focus_0
0.026335311572700297,0.040342688757006265,4186.0,0.10998715523602315
0.027813077634011092,0.041113100739371536,3830.0,0.11059707640811016
0.023614178445229683,0.03672887220259129,7170.0,0.10610524504206986
0.014907227964398508,0.02617400588573069,680.0,0.10461660775743357
0.015357704402515724,0.026851415094339623,192.0,0.10349136472863987
0.019119392599869025,0.031785499890853525,2652.0,0.10627879653596946
0.0162537548175017,0.0279344253003854,1140.0,0.10411700356030212
0.02335579437096278,0.03621001230390649,2482.0,0.10644348283905454
0.021288465545984996,0.033533620450125035,3858.0,0.10398671312282344
0.021013794697903824,0.03344250924784217,3046.0,0.10561187190990036
0.025358293758480324,0.03887805291723202,4864.0,0.10813225686906856
0.020666586751254056,0.03279451903216288,2524.0,0.10471163093875258
0.016660278941070895,0.02808807583009273,998.0,0.10349067819757081
0.01502785409035409,0.027430555555555555,1022.0,0.10504431361815049
0.029726372605090076,0.04394168215613383,5630.0,0.10948364745033264
0.02205858031225192,0.03470453492987563,3596.0,0.10624774298473674
0.02479337165497532,0.03879660301376981,4086.0,0.10756865176800451
0.025716552226383686,0.03882516645859343,2556.0,0.10748439592116933
0.026576002658985153,0.039964408375803236,5784.0,0.10847099391001624
0.025089964014394242,0.03869077369052379,3038.0,0.1086682990031105
0.027211151621825497,0.04096013012320845,5358.0,0.1089867565185048
0.018048695075199055,0.029086644795045708,1316.0,0.10324219029710749
0.0270524548402038,0.04038689786938397,2742.0,0.1078411703834202
0.029186646993729252,0.042751175765400225,4204.0,0.10944577246584933
0.016559808520455244,0.026422158566594894,960.0,0.10256985767756037
0.027687459858702634,0.04131208520659388,6346.0,0.10834425294445632
0.029195227907789032,0.04348039643730353,5248.0,0.10948008474554446
0.019329618424302298,0.031709218325512475,2540.0,0.10498086699931983
0.02947227191413238,0.043358676207513415,4524.0,0.10961089438067954
0.017778237240075614,0.028039343100189035,1120.0,0.10267113806389046
0.020537773933102653,0.03214388696655133,3318.0,0.10429205917984384
0.019483816487087396,0.030854498033179408,3286.0,0.10330738529053368
0.02618919828249167,0.039997756985388364,5562.0,0.1082883997481608
0.023604922213064084,0.03703089583762621,6402.0,0.1070009381306083
0.02022947833376322,0.03236635929842662,2986.0,0.10455505145675337
0.016880187128092704,0.027550501096147824,776.0,0.1027799722917931
0.029368645201569746,0.04337428647877274,4802.0,0.10879660399272584
0.019317292644757435,0.029741294992175274,1178.0,0.10266532109652263
0.027814703290246767,0.04182762925969448,6892.0,0.10852100703683802
0.021991940322932578,0.03323253054767619,4346.0,0.10357425234236521
