Voltage__c3__lag_1,Voltage__c3__lag_3,Voltage__c3__lag_2,Audio__cid_ce__normalize_False,Current__sum_of_reoccurring_data_points,Audio__benford_correlation
6724.066991306105,6723.035115071379,6723.474125341319,38.47592806491289,1711480.7867049999,0.9418526762339398
6611.788880151209,6611.18810885936,6611.436672085671,36.49598622560112,1616739.8775860001,0.9417764586677638
6972.371726901286,6970.794728172057,6971.440380930033,46.84623966923434,1602435.6721030003,0.9427547410753943
7095.684060847731,7092.680231240501,7093.9543920434835,19.856006201971418,1052260.512777,0.9201672093818704
7183.8736844437635,7181.373887462425,7182.243744429661,19.759632134193627,996263.0901479999,0.9104842970416053
6903.5380243938325,6901.88559920688,6902.622597660253,32.46375531532043,1783580.0902230002,0.9338120290437699
7042.717812725538,7040.09991337251,7041.204826352658,25.03973846556826,1252506.952006,0.925558354252714
6808.55398358425,6806.703764210933,6807.5742977819145,29.605116183293912,1346022.4207300001,0.9404983676584568
7035.5265750646195,7032.640489087635,7033.899054545721,31.861637160590586,1010364.848154,0.9431283049678845
6875.090026652282,6873.496096376172,6874.13207447595,31.19319207119985,1499402.3009520003,0.9385140471141459
6634.815245223709,6634.37453742351,6634.544148270832,37.95412968303768,1797517.0041180004,0.9449978349182325
6923.339776876695,6921.088977067681,6922.016935939489,29.49692020962992,1114292.9916869998,0.9339971477994602
7024.320812249598,7021.573771062858,7022.5633390910225,22.773990520825258,853079.733462,0.9231858187104633
6867.579119047663,6865.5394535471305,6866.449902142877,24.092716406220926,1385610.384036,0.9212903745416026
6454.074660205467,6453.521566448793,6453.746510573071,45.2154542619785,1969409.6047480002,0.9455505950573497
6763.002920523882,6761.133297960193,6761.877752654705,37.05922637867981,1533400.515794,0.935617638177557
6589.129617108215,6587.965039841525,6588.466585002221,38.71326125281314,1826764.5780159999,0.9421195333923921
6554.356389927262,6553.616007830217,6553.927464563473,29.456078835186997,1152969.967505,0.9390706676102838
6435.5801051046965,6435.211643574689,6435.342106113054,43.34318542662566,2360915.808296,0.9459982924826185
6472.811951793106,6471.942319866081,6472.3186691020655,32.60547328504098,1370464.951548,0.9393939794255024
6400.6116213307205,6400.137849504306,6400.3391079180265,41.18996651657789,2160768.271398,0.9462549740629255
6891.125939128744,6888.853064382325,6889.688901010151,21.950035034134274,856794.590175,0.9309909793482123
6495.67259796068,6495.206955334656,6495.385142434446,30.315174805389827,1102786.1113139999,0.9416263888254807
6319.905861297624,6319.300431384096,6319.570184210845,38.21010384622716,1604012.604303,0.9447656342149195
6938.596451224516,6936.687203244961,6937.282839886786,20.990121876612584,707027.1669770001,0.9214630942996798
6369.022272623725,6368.598605692109,6368.780824627979,45.35329659418032,2527175.650103,0.9469102742180244
6293.927006784554,6293.481470515156,6293.68964838617,41.13344371757698,1700026.39175,0.9461164812000108
6681.704169329816,6678.383248090469,6679.933361607218,31.11682400281375,1450523.516605,0.931956982321824
6280.351791272198,6279.990747266579,6280.157883413854,38.274050673048734,1684407.947219,0.9454548970347448
6907.587988472524,6905.57962644949,6906.267157163134,21.233989614696846,595054.078497,0.9219601478394701
6740.205765664644,6736.625581879503,6738.118340322938,33.19859293859663,1352006.991924,0.9369002522549212
6760.442708561865,6757.321899426837,6758.395192259841,35.932864098468905,1672126.031033,0.9374311251810961
6359.033305590343,6358.5845888112935,6358.748388034518,40.45906483833327,2038173.819595,0.9461659904563796
6434.2942163407515,6433.742858625413,6433.9909590562065,41.23392504259394,2207109.8567950004,0.945636941654472
6661.648355580154,6657.854539103791,6659.608310202921,29.95881915879151,1277929.709151,0.9377787998467741
6822.72908851445,6820.101377792509,6821.084354306473,20.91515256008414,737187.6535690001,0.9244785160424104
6289.40236395782,6288.748339241686,6289.056827581634,39.63003085401519,1575089.056383,0.9458433520354567
6822.714507047432,6820.731323909283,6821.331346577475,23.132500943180418,716910.279035,0.9295811554147618
6273.977513247559,6273.5509628843065,6273.731660602481,45.66310077041512,2313476.4688779996,0.9467966519680063
6652.601496992746,6649.2906221576495,6650.513048052966,34.819940516784435,1374977.613352,0.9436165002292556
